-5.4565,10.6130,-5.1563,-433.5377,921.1921,-487.5910
-5.7394,10.6015,-4.8619,-458.6231,921.4270,-462.7504
-6.0194,10.5822,-4.5628,-483.2706,920.7655,-437.4493
-6.2937,10.5528,-4.2591,-507.6508,919.4027,-411.7123
-6.5596,10.5109,-3.9513,-531.6452,917.2479,-385.5648
-6.8177,10.4573,-3.6396,-555.0400,914.1116,-359.0330
-7.0692,10.3936,-3.3243,-577.7577,909.9376,-332.1443
-7.3143,10.3202,-3.0058,-599.8526,904.8029,-304.9265
-7.5534,10.2378,-2.6843,-621.4478,898.8584,-277.4091
-7.7859,10.1462,-2.3602,-642.6640,892.2607,-249.6236
-8.0096,10.0435,-2.0338,-663.4502,884.9995,-221.6020
-8.2230,9.9286,-1.7054,-683.5409,876.8474,-193.3739
-8.4282,9.8038,-1.3753,-702.7367,867.6363,-164.9664
-8.6275,9.6717,-1.0440,-721.1327,857.4889,-136.4069
-8.8197,9.5315,-0.7116,-738.9267,846.6304,-107.7244
-9.0023,9.3811,-0.3787,-756.1215,835.0908,-78.9487
-9.1745,9.2201,-0.0454,-772.5493,822.7249,-50.1088
-9.3370,9.0492,0.2879,-788.0654,809.4034,-21.2328
-9.4901,8.8692,0.6209,-802.6266,795.0952,7.6530
-9.6347,8.6812,0.9533,-816.3053,779.8912,36.5252
-9.7712,8.4863,1.2847,-829.2738,763.9923,65.3599
-9.8980,8.2829,1.6148,-841.6294,747.5300,94.1304
-10.0128,8.0692,1.9434,-853.2263,730.3925,122.8090
-10.1164,7.8460,2.2701,-863.8314,712.3800,151.3717
-10.2112,7.6163,2.5947,-873.4213,693.5029,179.7965
-10.2979,7.3810,2.9168,-882.1686,673.9680,208.0591
-10.3747,7.1386,3.2360,-890.1787,653.9133,236.1311
-10.4406,6.8885,3.5520,-897.3868,633.3014,263.9811
-10.4954,6.6309,3.8646,-903.6574,612.0187,291.5776
-10.5393,6.3659,4.1734,-908.8744,589.9661,318.8924
-10.5730,6.0950,4.4781,-913.0161,567.1374,345.9010
-10.5980,5.8196,4.7784,-916.2218,543.6907,372.5792
-10.6135,5.5395,5.0740,-918.6775,519.8360,398.9000
-10.6172,5.2526,5.3645,-920.3790,495.5969,424.8345
-10.6085,4.9585,5.6498,-921.1381,470.8139,450.3555
-10.5893,4.6596,5.9295,-920.8527,445.4163,475.4395
-10.5612,4.3575,6.2034,-919.6338,419.5478,500.0646
-10.5235,4.0520,6.4713,-917.6416,393.3994,524.2057
-10.4753,3.7424,6.7327,-914.9250,367.0487,547.8327
-10.4163,3.4285,6.9875,-911.4204,340.4598,570.9145
-10.3460,3.1104,7.2353,-906.9976,313.5296,593.4225
-10.2651,2.7889,7.4761,-901.5436,286.1679,615.3333
-10.1754,2.4658,7.7094,-895.0985,258.4328,636.6257
-10.0772,2.1419,7.9352,-887.8428,230.5220,657.2789
-9.9689,1.8158,8.1530,-879.8676,202.5469,677.2724
-9.8488,1.4860,8.3627,-871.0507,174.4081,696.5880
-9.7181,1.1539,8.5642,-861.2379,145.9726,715.2107
-9.5785,0.8214,8.7571,-850.4443,117.2737,733.1269
-9.4304,0.4890,8.9414,-838.8127,88.4692,750.3220
-9.2733,0.1564,9.1169,-826.4690,59.6986,766.7792
-9.1068,-0.1765,9.2833,-813.4544,31.0171,782.4783
-8.9304,-0.5102,9.4405,-799.7035,2.3741,797.3992
-8.7440,-0.8445,9.5885,-785.0831,-26.3505,811.5239
-8.5495,-1.1775,9.7269,-769.5476,-55.1927,824.8370
-8.3483,-1.5076,9.8558,-753.2304,-84.0105,837.3242
-8.1397,-1.8354,9.9750,-736.2846,-112.6380,848.9734
-7.9219,-2.1625,10.0843,-718.6819,-141.0862,859.7758
-7.6950,-2.4888,10.1837,-700.2702,-169.4906,869.7262
-7.4604,-2.8126,10.2730,-680.9761,-197.9125,878.8212
-7.2192,-3.1329,10.3522,-660.8686,-226.2750,887.0584
-6.9715,-3.4495,10.4211,-640.0829,-254.4369,894.4351
-6.7174,-3.7622,10.4798,-618.7414,-282.2689,900.9466
-6.4560,-4.0719,10.5281,-596.8815,-309.7287,906.5853
-6.1869,-4.3790,10.5661,-574.4222,-336.8968,911.3416
-5.9110,-4.6823,10.5936,-551.2829,-363.8566,915.2069
-5.6307,-4.9799,10.6107,-527.5429,-390.5304,918.1736
-5.3461,-5.2711,10.6174,-503.3892,-416.7287,920.2337
-5.0562,-5.5572,10.6135,-478.9058,-442.3605,921.3795
-4.7602,-5.8389,10.5992,-454.0122,-467.4977,921.6056
-4.4589,-6.1155,10.5744,-428.6016,-492.2415,920.9113
-4.1535,-6.3857,10.5393,-402.6564,-516.6086,919.3009
-3.8447,-6.6490,10.4937,-376.2515,-540.5249,916.7819
-3.5329,-6.9048,10.4378,-349.5143,-563.8629,913.3617
-3.2178,-7.1536,10.3715,-322.5440,-586.5247,909.0450
-2.8984,-7.3965,10.2950,-295.3177,-608.5392,903.8355
-2.5749,-7.6333,10.2084,-267.7356,-630.0172,897.7383
-2.2492,-7.8623,10.1117,-239.7986,-650.9704,890.7615
-1.9226,-8.0823,10.0051,-211.6614,-671.2537,882.9137
-1.5946,-8.2939,9.8886,-183.4758,-690.7223,874.2010
-1.2643,-8.4979,9.7623,-155.2560,-709.3671,864.6270
-0.9321,-8.6942,9.6265,-126.9224,-727.2726,854.1967
-0.5987,-8.8822,9.4811,-98.4073,-744.5129,842.9199
-0.2651,-9.0613,9.3265,-69.7099,-761.0981,830.8103
0.0680,-9.2305,9.1627,-40.9140,-776.9571,817.8822
0.4001,-9.3898,8.9898,-12.1374,-791.9853,804.1476
0.7324,-9.5403,8.8079,16.5896,-806.1676,789.6173
1.0652,-9.6826,8.6174,45.3595,-819.6144,774.3037
1.3974,-9.8158,8.4183,74.2445,-832.4179,758.2229
1.7273,-9.9385,8.2110,103.1655,-844.5198,741.3938
2.0548,-10.0505,7.9955,131.9612,-855.7772,723.8347
2.3805,-10.1528,7.7721,160.5355,-866.1089,705.5619
2.7045,-10.2457,7.5411,188.8950,-875.5329,686.5907
3.0264,-10.3291,7.3025,217.0924,-884.1118,666.9384
3.3457,-10.4025,7.0567,245.1625,-891.8916,646.6258
3.6610,-10.4651,6.8040,273.0620,-898.8449,625.6746
3.9716,-10.5162,6.5446,300.6664,-904.8667,604.1044
4.2780,-10.5567,6.2786,327.8826,-909.8852,581.9327
4.5813,-10.5877,6.0064,354.7515,-913.9638,559.1778
4.8808,-10.6091,5.7283,381.3747,-917.2315,535.8608
5.1751,-10.6195,5.4444,407.7572,-919.7249,512.0054
5.4633,-10.6186,5.1552,433.7825,-921.3609,487.6366
5.7459,-10.6068,4.8608,459.3232,-922.0418,462.7796
6.0230,-10.5848,4.5616,484.3216,-921.7353,437.4600
6.2949,-10.5530,4.2579,508.7917,-920.4777,411.7050
6.5613,-10.5116,3.9500,532.7797,-918.3377,385.5444
6.8212,-10.4598,3.6383,556.2887,-915.3422,359.0087
7.0734,-10.3967,3.3230,579.2223,-911.4184,332.1270
7.3179,-10.3225,3.0044,601.4512,-906.4595,304.9258
7.5557,-10.2387,2.6829,622.9500,-900.4631,277.4301
7.7869,-10.1459,2.3588,643.8101,-893.5466,249.6653
8.0107,-10.0432,2.0325,664.1089,-885.8187,221.6585
8.2259,-9.9301,1.7041,683.8200,-877.2878,193.4382
8.4323,-9.8065,1.3742,702.8557,-867.9001,165.0327
8.6301,-9.6730,1.0428,721.1455,-857.6151,136.4704
8.8197,-9.5302,0.7105,738.6787,-846.4497,107.7801
9.0015,-9.3790,0.3775,755.5068,-834.4849,78.9918
9.1749,-9.2191,0.0442,771.6852,-821.8064,50.1368
9.3388,-9.0497,-0.2892,787.1796,-808.4093,21.2464
9.4926,-8.8704,-0.6222,801.8663,-794.1957,-7.6506
9.6370,-8.6823,-0.9547,815.6564,-779.1006,-36.5295
9.7726,-8.4865,-1.2862,828.5794,-763.1777,-65.3677
9.8992,-8.2829,-1.6164,840.7177,-746.5360,-94.1426
10.0158,-8.0709,-1.9450,852.1020,-729.2342,-122.8295
10.1221,-7.8505,-2.2716,862.6913,-711.2586,-151.4025
10.2177,-7.6216,-2.5961,872.4180,-692.5663,-179.8360
10.3030,-7.3849,-2.9181,881.2424,-673.1403,-208.1048
10.3786,-7.1414,-3.2372,889.1954,-653.0342,-236.1822
10.4447,-6.8915,-3.5532,896.3588,-632.3558,-264.0386
10.5005,-6.6348,-3.8657,902.7674,-611.1675,-291.6419
10.5452,-6.3706,-4.1744,908.3457,-589.4215,-318.9601
10.5789,-6.0997,-4.4790,912.9816,-567.0333,-345.9645
10.6026,-5.8230,-4.7794,916.6391,-543.9958,-372.6300
10.6165,-5.5413,-5.0750,919.3643,-520.3848,-398.9333
10.6202,-5.2544,-5.3657,921.2034,-496.2781,-424.8499
10.6133,-4.9621,-5.6510,922.1502,-471.7003,-450.3539
10.5952,-4.6643,-5.9308,922.1502,-446.6262,-475.4201
10.5662,-4.3615,-6.2047,921.1420,-421.0194,-500.0259
10.5270,-4.0544,-6.4725,919.1212,-394.8968,-524.1492
10.4780,-3.7440,-6.7340,916.1689,-368.3596,-547.7656
10.4190,-3.4303,-6.9887,912.3806,-341.5235,-570.8472
10.3493,-3.1127,-7.2366,907.7649,-314.4195,-593.3646
10.2686,-2.7913,-7.4772,902.2520,-287.0005,-615.2899
10.1778,-2.4672,-7.7106,895.7937,-259.2407,-636.5983
10.0776,-2.1412,-7.9363,888.4174,-231.1899,-657.2677
9.9680,-1.8138,-8.1541,880.1871,-202.9358,-677.2772
9.8489,-1.4848,-8.3639,871.1430,-174.5433,-696.6056
9.7197,-1.1542,-8.5654,861.2711,-146.0231,-715.2333
9.5805,-0.8219,-8.7584,850.5120,-117.3374,-733.1438
9.4316,-0.4887,-8.9427,838.8225,-88.4602,-750.3236
9.2740,-0.1557,-9.1182,826.2438,-59.4455,-766.7602
9.1079,0.1769,-9.2847,812.8813,-30.4101,-782.4394
8.9327,0.5093,-9.4419,798.8034,-1.4345,-797.3460
8.7479,0.8419,-9.5898,783.9923,27.4860,-811.4649
8.5541,1.1742,-9.7283,768.4039,56.3833,-824.7826
8.3519,1.5052,-9.8571,752.0416,85.2430,-837.2868
8.1419,1.8343,-9.9763,734.9626,113.9967,-848.9657
7.9243,2.1611,-10.0855,717.2353,142.5623,-859.8070
